G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,Avg Diff,nOBP,nSLG,RE24,WPA,GB_outs,FB_outs,Type,Season,Hitter ID,Team,is_sub_row,Last Team,WAR
2,4,4,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.75,0.0,0.0,1.0,0.0,276.5,0.0,0.0,-0.6975921025940827,-0.0891,0,1,,S1,-21,HOU,False,HOU,-0.05540921025940827
1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,,,,,0.0,0.0,-0.23916256157635463,-0.046799999999999994,0,0,BN,S1,-20,OAK,False,OAK,-0.020328756157635464
4,7,7,1,1,0,0,0,1,4,4,0,0,3,2,0,0,0,0,1,0,2,1,0,0,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.7142857142857142,0.42857142857142855,0.0,,0.14285714285714285,0.42857142857142855,0.0,0.75,0.25,3.0,293.4,0.14285714285714285,0.5714285714285714,-0.9740908341335044,0.2253,3,1,BC,S1,-19,BAL,False,BAL,-0.07229658341335043
4,9,7,1,1,0,1,0,0,2,0,2,1,3,3,0,0,0,0,1,0,2,1,0,0,0.14285714285714285,0.3333333333333333,0.2857142857142857,0.6190476190476191,0.14285714285714285,0.25,,0.0,0.3333333333333333,0.2222222222222222,0.75,0.25,3.0,264.2,0.3333333333333333,0.2857142857142857,-0.3957561898050713,-0.13870000000000005,3,1,,S1,-18,HOU,False,HOU,-0.007288118980507135
1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,,,,348.0,0.0,0.0,-0.38276836158192107,-0.09849999999999999,0,0,,S1,-17,NYM,False,NYM,-0.034689336158192106
6,16,14,4,2,4,0,0,0,4,1,1,0,1,0,0,0,0,1,1,0,7,2,1,0,0.2857142857142857,0.3125,0.2857142857142857,0.5982142857142857,0.0,0.2857142857142857,,0.0,0.0625,0.0625,0.6666666666666666,0.3333333333333333,2.0,281.5625,0.3125,0.2857142857142857,-2.9801067996615282,-0.3267,8,4,BC,S1,-16,NYM,False,NYM,-0.24061067996615285
2,4,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.25,0.0,1.0,0.0,,463.3333333333333,0.0,0.0,-2.643635272448832,-0.7258,4,0,BP,S1,-15,NYM,False,NYM,-0.25001352724488324
2,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.3333333333333333,0.0,1.0,0.0,,434.5,0.0,0.0,-1.129744651483782,-0.1426,2,0,BN,S1,-14,BAL,False,BAL,-0.10221196514837819
1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,1.0,0.0,326.5,0.0,0.0,-0.26269906376551155,-0.0311,0,1,,S1,-13,NYM,False,NYM,-0.019094906376551157
5,14,14,6,2,3,2,1,0,10,2,0,0,1,0,1,0,0,0,0,0,3,3,1,0,0.42857142857142855,0.42857142857142855,0.7142857142857143,1.1428571428571428,0.28571428571428575,0.46153846153846156,1.0,0.0,0.07142857142857142,0.0,0.42857142857142855,0.5714285714285714,0.75,219.0,0.42857142857142855,0.7142857142857143,0.5263900209046171,0.23779999999999998,3,4,BC,S1,-12,OAK,False,OAK,0.10286400209046169
