Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
Lane Drew,190,721.0,Junks Tandem,3276,42.0,K,321.0,T1,0,0,0,0,-2.51%,2.51%,0,0,1,1,1,TOR,ATL,K,K,,1
Ziggy Ceder,56,562.0,Junks Tandem,3276,772.0,FO,210.0,T1,1,0,0,0,-2.18%,2.18%,0,0,1,1,1,TOR,ATL,FO,FO,,1
Quentin Adams,397,568.0,Junks Tandem,3276,7.0,LGO,439.0,T1,2,0,0,0,-1.76%,1.76%,0,0,1,1,1,TOR,ATL,LGO,LGO,,1
Phil Coulson,226,414.0,S.A.R. Dinka,395,138.0,K,276.0,B1,0,0,0,0,-2.48%,2.48%,0,0,2,1,1,ATL,TOR,K,K,,1
Forrest Gleeson,51,45.0,S.A.R. Dinka,395,602.0,LGO,443.0,B1,1,0,0,0,-2.17%,2.17%,0,0,2,1,1,ATL,TOR,LGO,LGO,,1
Y.E. Wally,5,619.0,S.A.R. Dinka,395,172.0,LGO,447.0,B1,2,0,0,0,-1.79%,1.79%,0,0,2,1,1,ATL,TOR,LGO,LGO,,1
Graham Grams,400,366.0,Junks Tandem,3276,17.0,K,349.0,T2,0,0,0,0,-2.72%,2.72%,0,0,3,1,1,TOR,ATL,K,K,,1
Luis Flemus,3275,242.0,Junks Tandem,3276,819.0,LGO,423.0,T2,1,0,0,0,-2.40%,2.40%,0,0,3,1,1,TOR,ATL,LGO,LGO,,1
Thomas Berry,446,525.0,Junks Tandem,3276,2.0,LGO,477.0,T2,2,0,0,0,-1.99%,1.99%,0,0,3,1,1,TOR,ATL,LGO,LGO,,1
Charles Lindberg,242,562.0,S.A.R. Dinka,395,802.0,FO,240.0,B2,0,0,0,0,-2.72%,2.72%,0,0,4,1,1,ATL,TOR,FO,FO,,1
Gil Metz,206,108.0,S.A.R. Dinka,395,603.0,LGO,495.0,B2,1,0,0,0,-2.38%,2.38%,0,0,4,1,1,ATL,TOR,LGO,LGO,,1
H.B. Boink,1988,105.0,S.A.R. Dinka,395,780.0,K,325.0,B2,2,0,0,0,-2.03%,2.03%,0,0,4,1,1,ATL,TOR,K,K,,1
Mike Honcho,445,408.0,Junks Tandem,3276,108.0,K,300.0,T3,0,0,0,0,-3.03%,3.03%,0,0,5,1,1,TOR,ATL,K,K,,1
Daz Reference,2114,572.0,Junks Tandem,3276,300.0,FO,272.0,T3,1,0,0,0,-2.74%,2.74%,0,0,5,1,1,TOR,ATL,FO,FO,,1
S.A.R. Dinka,395,200.0,Junks Tandem,3276,902.0,K,298.0,T3,2,0,0,0,-2.31%,2.31%,0,0,5,1,1,TOR,ATL,K,K,,1
Junks Tandem,3276,22.0,S.A.R. Dinka,395,129.0,1B,107.0,B3,0,0,0,0,3.09%,-3.09%,0,0,6,1,1,ATL,TOR,1B,1B,,1
Sadler Oriole,231,770.0,S.A.R. Dinka,395,420.0,DP,350.0,B3,0,1,0,0,-8.93%,8.93%,0,0,6,1,1,ATL,TOR,LGO,LGO,,1
Jake Blee,232,272.0,S.A.R. Dinka,395,252.0,HR,20.0,B3,2,0,0,0,17.42%,-17.42%,1,1,6,1,1,ATL,TOR,HR,HR,,1
Phil Coulson,226,887.0,S.A.R. Dinka,395,725.0,BB,162.0,B3,2,0,1,0,1.54%,-1.54%,0,0,6,1,1,ATL,TOR,BB,BB,,1
Forrest Gleeson,51,982.0,S.A.R. Dinka,395,801.0,FO,181.0,B3,2,1,1,0,-3.16%,3.16%,0,0,6,1,1,ATL,TOR,FO,FO,,1
Lane Drew,190,71.0,Junks Tandem,3276,811.0,FO,260.0,T4,0,0,1,0,-3.96%,3.96%,0,0,7,1,1,TOR,ATL,FO,FO,,1
Ziggy Ceder,56,71.0,Junks Tandem,3276,66.0,HR,5.0,T4,1,0,1,0,18.45%,-18.45%,1,1,7,1,1,TOR,ATL,HR,HR,,1
Quentin Adams,397,772.0,Junks Tandem,3276,1.0,FO,229.0,T4,1,0,1,1,-3.19%,3.19%,0,0,7,1,1,TOR,ATL,FO,FO,,1
Graham Grams,400,913.0,Junks Tandem,3276,420.0,LGO,493.0,T4,2,0,1,1,-2.75%,2.75%,0,0,7,1,1,TOR,ATL,LGO,LGO,,1
Y.E. Wally,5,151.0,S.A.R. Dinka,395,474.0,K,323.0,B4,0,0,1,1,-3.43%,3.43%,0,0,8,1,1,ATL,TOR,K,K,,1
Charles Lindberg,242,953.0,S.A.R. Dinka,395,1.0,HR,48.0,B4,1,0,1,1,20.22%,-20.22%,1,1,8,1,1,ATL,TOR,HR,HR,,1
Gil Metz,206,815.0,S.A.R. Dinka,395,732.0,1B,83.0,B4,1,0,2,1,1.59%,-1.59%,0,1,8,1,1,ATL,TOR,1B,1B,,1
H.B. Boink,1988,300.0,S.A.R. Dinka,395,347.0,1B,47.0,B4,1,1,2,1,2.73%,-2.73%,0,1,8,1,1,ATL,TOR,1B,1B,,1
Junks Tandem,3276,666.0,S.A.R. Dinka,395,524.0,BB,142.0,B4,1,4,2,1,5.33%,-5.33%,0,1,8,1,1,ATL,TOR,BB,BB,,1
Sadler Oriole,231,645.0,S.A.R. Dinka,395,699.0,1B,54.0,B4,1,7,2,1,6.22%,-6.22%,1,0,8,1,1,ATL,TOR,1B,1B,,1
Jake Blee,232,390.0,S.A.R. Dinka,395,330.0,2B,60.0,B4,1,7,3,1,5.80%,-5.80%,2,0,8,1,1,ATL,TOR,2B,2B,,1
Phil Coulson,226,997.0,S.A.R. Dinka,395,148.0,BB,151.0,B4,1,6,5,1,0.25%,-0.25%,0,0,8,1,1,ATL,TOR,BB,BB,,1
Forrest Gleeson,51,41.0,S.A.R. Dinka,395,531.0,DP,490.0,B4,1,7,5,1,-2.18%,2.18%,0,0,8,1,1,ATL,TOR,LGO,LGO,,1
Luis Flemus,3275,153.0,Junks Tandem,3276,210.0,2B,57.0,T5,0,0,5,1,3.50%,-3.50%,0,1,9,1,1,TOR,ATL,2B,2B,,1
Thomas Berry,446,944.0,Junks Tandem,3276,902.0,1B,42.0,T5,0,2,5,1,4.64%,-4.64%,0,1,9,1,1,TOR,ATL,1B,1B,,1
Mike Honcho,445,482.0,Junks Tandem,3276,700.0,Sac,218.0,T5,0,5,5,1,-3.79%,3.79%,1,0,9,1,1,TOR,ATL,FO,FO,,1
