Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result At Neutral,Result All Neutral
Merodach Baladan,100.0,676.0,Hummingbird Saltalamacchia,716,409.0,FO,267,T1,0,0,0,0,-2.52%,2.52%,0,0,1,1,1,DET,CLE,,FO,
Sevag Vapor,106.0,893.0,Hummingbird Saltalamacchia,716,777.0,1B,116,T1,1,0,0,0,3.22%,-3.22%,0,0,1,1,1,DET,CLE,,1B,
Mason Spurs,103.0,502.0,Hummingbird Saltalamacchia,716,915.0,DP,413,T1,1,1,0,0,-7.48%,7.48%,0,0,1,1,1,DET,CLE,,RGO,
Thaddeus Gomorrah,41.0,777.0,Master Cashier,93,523.0,FO,254,B1,0,0,0,0,-2.73%,2.73%,0,0,2,1,1,CLE,DET,,FO,
Tyler Palmatier,258.0,40.0,Master Cashier,93,205.0,FO,165,B1,1,0,0,0,-2.27%,2.27%,0,0,2,1,1,CLE,DET,,FO,
G.H. Morello,211.0,888.0,Master Cashier,93,803.0,BB,85,B1,2,0,0,0,1.50%,-1.50%,0,0,2,1,1,CLE,DET,,1B,
Rick McLightning,55.0,335.0,Master Cashier,93,999.0,K,336,B1,2,1,0,0,-3.30%,3.30%,0,0,2,1,1,CLE,DET,,K,
Xander MacAnder,424.0,701.0,Hummingbird Saltalamacchia,716,999.0,K,298,T2,0,0,0,0,-2.86%,2.86%,0,0,3,1,1,DET,CLE,,K,
Randy Pinkwood,95.0,735.0,Hummingbird Saltalamacchia,716,105.0,PO,370,T2,1,0,0,0,-2.89%,2.89%,0,0,3,1,1,DET,CLE,,PO,
Kenneth Moore,98.0,980.0,Hummingbird Saltalamacchia,716,713.0,FO,267,T2,2,0,0,0,-1.54%,1.54%,0,0,3,1,1,DET,CLE,,FO,
Brohei Brohtani,425.0,512.0,Master Cashier,93,113.0,RGO,399,B2,0,0,0,0,-2.75%,2.75%,0,0,4,1,1,CLE,DET,,RGO,
Jericho Caulfield,36.0,738.0,Master Cashier,93,714.0,2B,24,B2,1,0,0,0,4.93%,-4.93%,0,0,4,1,1,CLE,DET,,2B,
Ross Fire,47.0,318.0,Master Cashier,93,222.0,BB,96,B2,1,2,0,0,3.47%,-3.47%,0,0,4,1,1,CLE,DET,,BB,
Tom Crean,407.0,480.0,Master Cashier,93,212.0,FO,268,B2,1,4,0,0,-6.13%,6.13%,0,0,4,1,1,CLE,DET,,FO,
Ovaltine Jenkins,404.0,126.0,Master Cashier,93,911.0,FO,215,B2,2,4,0,0,-6.84%,6.84%,0,0,4,1,1,CLE,DET,,FO,
Morris Deratt,104.0,1000.0,Hummingbird Saltalamacchia,716,500.0,LGO,500,T3,0,0,0,0,-3.26%,3.26%,0,0,5,1,1,DET,CLE,,LGO,
Tyler Phoenix,99.0,280.0,Hummingbird Saltalamacchia,716,696.0,RGO,416,T3,1,0,0,0,-3.05%,3.05%,0,0,5,1,1,DET,CLE,,RGO,
Otis Nixon Sr.,107.0,345.0,Hummingbird Saltalamacchia,716,280.0,3B,65,T3,2,0,0,0,3.97%,-3.97%,0,0,5,1,1,DET,CLE,,3B,
Merodach Baladan,100.0,43.0,Hummingbird Saltalamacchia,716,666.0,RGO,377,T3,2,3,0,0,-6.04%,6.04%,0,0,5,1,1,DET,CLE,,RGO,
Thaddeus Gomorrah,41.0,448.0,Master Cashier,93,801.0,PO,353,B3,0,0,0,0,-3.32%,3.32%,0,0,6,1,1,CLE,DET,,PO,
Tyler Palmatier,258.0,506.0,Master Cashier,93,488.0,HR,18,B3,1,0,0,0,15.05%,-15.05%,1,1,6,1,1,CLE,DET,,HR,
G.H. Morello,211.0,321.0,Master Cashier,93,867.0,LGO,454,B3,1,0,1,0,-2.23%,2.23%,0,0,6,1,1,CLE,DET,,LGO,
Rick McLightning,55.0,1.0,Master Cashier,93,111.0,BB,110,B3,2,0,1,0,1.65%,-1.65%,0,0,6,1,1,CLE,DET,,BB,
Brohei Brohtani,425.0,237.0,Master Cashier,93,444.0,FO,207,B3,2,1,1,0,-3.11%,3.11%,0,0,6,1,1,CLE,DET,,FO,
Sevag Vapor,106.0,33.0,Hummingbird Saltalamacchia,716,666.0,PO,367,T4,0,0,1,0,-4.06%,4.06%,0,0,7,1,1,DET,CLE,,PO,
Mason Spurs,103.0,888.0,Hummingbird Saltalamacchia,716,825.0,2B,63,T4,1,0,1,0,7.46%,-7.46%,0,0,7,1,1,DET,CLE,,2B,
Xander MacAnder,424.0,712.0,Hummingbird Saltalamacchia,716,825.0,BB,113,T4,1,2,1,0,5.32%,-5.32%,0,0,7,1,1,DET,CLE,,BB,
Randy Pinkwood,95.0,600.0,Hummingbird Saltalamacchia,716,284.0,K,316,T4,1,4,1,0,-9.09%,9.09%,0,0,7,1,1,DET,CLE,,K,
Kenneth Moore,98.0,666.0,Hummingbird Saltalamacchia,716,333.0,K,333,T4,2,4,1,0,-10.10%,10.10%,0,0,7,1,1,DET,CLE,,K,
Jericho Caulfield,36.0,588.0,Master Cashier,93,956.0,PO,368,B4,0,0,1,0,-2.24%,2.24%,0,0,8,1,1,CLE,DET,,PO,
Ross Fire,47.0,278.0,Master Cashier,93,147.0,BB,131,B4,1,0,1,0,2.38%,-2.38%,0,0,8,1,1,CLE,DET,,BB,
Tom Crean,407.0,620.0,Master Cashier,93,207.0,DP,413,B4,1,1,1,0,-5.88%,5.88%,0,0,8,1,1,CLE,DET,,RGO,
Morris Deratt,104.0,333.0,Hummingbird Saltalamacchia,716,10.0,K,323,T5,0,0,1,0,-5.28%,5.28%,0,0,9,1,1,DET,CLE,,K,
Tyler Phoenix,99.0,333.0,Hummingbird Saltalamacchia,716,682.0,K,349,T5,1,0,1,0,-5.21%,5.21%,0,0,9,1,1,DET,CLE,,K,
Otis Nixon Sr.,107.0,777.0,Hummingbird Saltalamacchia,716,373.0,LGO,404,T5,2,0,1,0,-3.40%,3.40%,0,0,9,1,1,DET,CLE,,LGO,
Ovaltine Jenkins,404.0,712.0,Master Cashier,93,544.0,BB,168,B5,0,0,1,0,1.63%,-1.63%,0,0,10,1,1,CLE,DET,,BB,
Thaddeus Gomorrah,41.0,810.0,Master Cashier,93,100.0,K,290,B5,0,1,1,0,-1.88%,1.88%,0,0,10,1,1,CLE,DET,,K,
Tyler Palmatier,258.0,689.0,Master Cashier,93,187.0,DP,498,B5,1,1,1,0,-4.40%,4.40%,0,0,10,1,1,CLE,DET,,LGO,
Merodach Baladan,100.0,243.0,Daniel Collins,149,240.0,HR,3,T6,0,0,1,0,30.22%,-30.22%,1,1,11,1,1,DET,CLE,,HR,
Sevag Vapor,106.0,893.0,Daniel Collins,149,612.0,K,281,T6,0,0,1,1,-6.10%,6.10%,0,0,11,1,1,DET,CLE,,K,
Mason Spurs,103.0,721.0,Daniel Collins,149,301.0,RGO,420,T6,1,0,1,1,-5.86%,5.86%,0,0,11,1,1,DET,CLE,,RGO,
Xander MacAnder,424.0,499.0,Daniel Collins,149,891.0,K,392,T6,2,0,1,1,-4.85%,4.85%,0,0,11,1,1,DET,CLE,,K,
G.H. Morello,211.0,777.0,Master Cashier,93,404.0,PO,373,B6,0,0,1,1,-6.12%,6.12%,0,0,12,1,1,CLE,DET,,PO,
Rick McLightning,55.0,825.0,Master Cashier,93,808.0,HR,17,B6,1,0,1,1,39.09%,-39.09%,1,1,12,1,1,CLE,DET,,HR,
Swing N. Miss,195.0,600.0,Silver Edgeworth,21,873.0,K,273,T1,0,0,0,0,-2.52%,2.52%,0,0,13,2,1,NYY,BOS,,K,
Rapid Eagle,263.0,901.0,Silver Edgeworth,21,224.0,K,323,T1,1,0,0,0,-2.51%,2.51%,0,0,13,2,1,NYY,BOS,,K,
Rich Mahogany,265.0,214.0,Silver Edgeworth,21,993.0,FO,221,T1,2,0,0,0,-1.75%,1.75%,0,0,13,2,1,NYY,BOS,,FO,
Oscar Vegas,33.0,659.0,Artanis Jones,37,945.0,K,286,B1,0,0,0,0,-2.73%,2.73%,0,0,14,2,1,BOS,NYY,,K,
Larry Longshot,32.0,12.0,Artanis Jones,37,637.0,K,375,B1,1,0,0,0,-2.27%,2.27%,0,0,14,2,1,BOS,NYY,,K,
Rusty Shackleford,25.0,580.0,Artanis Jones,37,227.0,K,353,B1,2,0,0,0,-1.80%,1.80%,0,0,14,2,1,BOS,NYY,,K,
S. Jay Cutler,255.0,173.0,Silver Edgeworth,21,419.0,FO,246,T2,0,0,0,0,-2.86%,2.86%,0,0,15,2,1,NYY,BOS,,FO,
Hingle McCringleberry,257.0,675.0,Silver Edgeworth,21,333.0,PO,342,T2,1,0,0,0,-2.89%,2.89%,0,0,15,2,1,NYY,BOS,,PO,
Layzer Gunn,259.0,611.0,Silver Edgeworth,21,21.0,RGO,410,T2,2,0,0,0,-1.54%,1.54%,0,0,15,2,1,NYY,BOS,,RGO,
Eric Leeder,29.0,84.0,Artanis Jones,37,143.0,1B,59,B2,0,0,0,0,3.93%,-3.93%,0,0,16,2,1,BOS,NYY,,1B,
Michael Voorhees,23.0,656.0,Artanis Jones,37,50.0,PO,394,B2,0,1,0,0,-3.01%,3.01%,0,0,16,2,1,BOS,NYY,,PO,
Jeffrey Nolan,35.0,434.0,Artanis Jones,37,951.0,DP,483,B2,1,1,0,0,-8.25%,8.25%,0,0,16,2,1,BOS,NYY,,LGO,
Skye McDowell,264.0,727.0,Silver Edgeworth,21,87.0,RGO,360,T3,0,0,0,0,-3.26%,3.26%,0,0,17,2,1,NYY,BOS,,RGO,
walnuts labonte,261.0,645.0,Silver Edgeworth,21,368.0,K,277,T3,1,0,0,0,-3.05%,3.05%,0,0,17,2,1,NYY,BOS,,K,
Dirtbag Darrell,262.0,250.0,Silver Edgeworth,21,187.0,2B,63,T3,2,0,0,0,3.97%,-3.97%,0,0,17,2,1,NYY,BOS,,2B,
Swing N. Miss,195.0,678.0,Silver Edgeworth,21,444.0,FO,234,T3,2,2,0,0,-6.04%,6.04%,0,0,17,2,1,NYY,BOS,,FO,
Ben Beezle,26.0,258.0,Artanis Jones,37,308.0,2B,50,B3,0,0,0,0,8.34%,-8.34%,0,1,18,2,1,BOS,NYY,,2B,
Jay Money,241.0,550.0,Artanis Jones,37,757.0,FO,207,B3,0,2,0,0,-5.71%,5.71%,0,0,18,2,1,BOS,NYY,,FO,
Barney Turbo,28.0,777.0,Artanis Jones,37,670.0,1B,107,B3,1,2,0,0,9.24%,-9.24%,0,1,18,2,1,BOS,NYY,,1B,
Oscar Vegas,33.0,520.0,Artanis Jones,37,898.0,PO,378,B3,1,5,0,0,-12.50%,12.50%,0,0,18,2,1,BOS,NYY,,PO,
Larry Longshot,32.0,111.0,Artanis Jones,37,119.0,HR,8,B3,2,5,0,0,29.49%,-29.49%,3,1,18,2,1,BOS,NYY,,HR,
Rusty Shackleford,25.0,278.0,Artanis Jones,37,33.0,K,245,B3,2,0,3,0,-0.63%,0.63%,0,0,18,2,1,BOS,NYY,,K,
Rapid Eagle,263.0,777.0,Silver Edgeworth,21,444.0,K,333,T4,0,0,3,0,-2.47%,2.47%,0,0,19,2,1,NYY,BOS,,K,
Rich Mahogany,265.0,622.0,Silver Edgeworth,21,232.0,RGO,390,T4,1,0,3,0,-2.55%,2.55%,0,0,19,2,1,NYY,BOS,,RGO,
S. Jay Cutler,255.0,432.0,Silver Edgeworth,21,720.0,K,288,T4,2,0,3,0,-1.10%,1.10%,0,0,19,2,1,NYY,BOS,,K,
Eric Leeder,29.0,732.0,Artanis Jones,37,713.0,HR,19,B4,0,0,3,0,3.41%,-3.41%,1,1,20,2,1,BOS,NYY,,HR,
Michael Voorhees,23.0,13.0,Artanis Jones,37,934.0,1B,79,B4,0,0,4,0,0.23%,-0.23%,0,0,20,2,1,BOS,NYY,,1B,
Jeffrey Nolan,35.0,56.0,Tommy Foxconn,253,203.0,FO,147,B4,0,1,4,0,-0.19%,0.19%,0,0,20,2,1,BOS,NYY,,FO,
Ben Beezle,26.0,787.0,Tommy Foxconn,253,340.0,DP,447,B4,1,1,4,0,-0.93%,0.93%,0,0,20,2,1,BOS,NYY,,RGO,
Hingle McCringleberry,257.0,555.0,Silver Edgeworth,21,48.0,LGO,493,T5,0,0,4,0,-1.30%,1.30%,0,0,21,2,1,NYY,BOS,,LGO,
Layzer Gunn,259.0,270.0,Silver Edgeworth,21,655.0,RGO,385,T5,1,0,4,0,-1.32%,1.32%,0,0,21,2,1,NYY,BOS,,RGO,
Skye McDowell,264.0,727.0,Silver Edgeworth,21,987.0,K,260,T5,2,0,4,0,-0.54%,0.54%,0,0,21,2,1,NYY,BOS,,K,
Jay Money,241.0,45.0,Tommy Foxconn,253,1.0,2B,44,B5,0,0,4,0,0.32%,-0.32%,0,0,22,2,1,BOS,NYY,,2B,
Barney Turbo,28.0,899.0,Tommy Foxconn,253,678.0,FO,221,B5,0,2,4,0,0.01%,-0.01%,0,0,22,2,1,BOS,NYY,,FO,
Oscar Vegas,33.0,355.0,Tommy Foxconn,253,454.0,1B,99,B5,1,2,4,0,0.53%,-0.53%,0,0,22,2,1,BOS,NYY,,1B,
Larry Longshot,32.0,699.0,Tommy Foxconn,253,1.0,K,302,B5,1,5,4,0,-0.60%,0.60%,0,0,22,2,1,BOS,NYY,,K,
Rusty Shackleford,25.0,39.0,Tommy Foxconn,253,500.0,LGO,461,B5,2,5,4,0,-0.84%,0.84%,0,0,22,2,1,BOS,NYY,,LGO,
Cam Singleton,266.0,333.0,Silver Edgeworth,21,130.0,FO,203,T6,0,0,4,0,-1.32%,1.32%,0,0,23,2,1,NYY,BOS,,FO,
Dirtbag Darrell,262.0,666.0,Silver Edgeworth,21,355.0,K,311,T6,1,0,4,0,-0.57%,0.57%,0,0,23,2,1,NYY,BOS,,K,
Benjamin 'Benji' Bjorn,427.0,680.0,Silver Edgeworth,21,834.0,BB,154,T6,2,0,4,0,0.38%,-0.38%,0,0,23,2,1,NYY,BOS,,BB,
Rapid Eagle,263.0,420.0,Silver Edgeworth,21,223.0,FO,197,T6,2,1,4,0,-0.63%,0.63%,0,0,23,2,1,NYY,BOS,,FO,
Sam Wood,108.0,123.0,Hayden McCloud,129,86.0,2B,37,T1,0,0,0,0,6.78%,-6.78%,0,0,24,3,1,HOU,KCR,,2B,
Riles McGiles,122.0,167.0,Hayden McCloud,129,651.0,LGO,484,T1,0,2,0,0,-4.83%,4.83%,0,0,24,3,1,HOU,KCR,,LGO,
Dakota Carolina Montana,65.0,712.0,Hayden McCloud,129,232.0,LGO,480,T1,1,2,0,0,-4.16%,4.16%,0,0,24,3,1,HOU,KCR,,LGO,
Duke Nukem,124.0,232.0,Hayden McCloud,129,575.0,PO,343,T1,2,2,0,0,-4.59%,4.59%,0,0,24,3,1,HOU,KCR,,PO,
Donnie Draper,138.0,1.0,Willoughby Hoose,112,16.0,HR,15,B1,0,0,0,0,10.20%,-10.20%,1,1,25,3,1,KCR,HOU,,HR,
Carlos Brownson,132.0,622.0,Willoughby Hoose,112,520.0,BB,102,B1,0,0,1,0,3.72%,-3.72%,0,0,25,3,1,KCR,HOU,,BB,
Jack Meloy,145.0,840.0,Willoughby Hoose,112,964.0,BB,124,B1,0,1,1,0,5.28%,-5.28%,0,0,25,3,1,KCR,HOU,,BB,
Slapshot Brady,141.0,739.0,Willoughby Hoose,112,982.0,K,243,B1,0,4,1,0,-4.58%,4.58%,0,0,25,3,1,KCR,HOU,,K,
Dart Ragusa,134.0,990.0,Willoughby Hoose,112,581.0,DP,409,B1,1,4,1,0,-9.64%,9.64%,0,0,25,3,1,KCR,HOU,,LGO,
Luap Renraw,118.0,357.0,Hayden McCloud,129,107.0,FO,250,T2,0,0,1,0,-2.54%,2.54%,0,0,26,3,1,HOU,KCR,,FO,
Mattress Cadaire,116.0,662.0,Hayden McCloud,129,336.0,PO,326,T2,1,0,1,0,-3.53%,3.53%,0,0,26,3,1,HOU,KCR,,PO,
Harry Peritestes,117.0,569.0,Hayden McCloud,129,912.0,PO,343,T2,2,0,1,0,-1.45%,1.45%,0,0,26,3,1,HOU,KCR,,PO,
