Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Scores,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
Zum Saparilla,160,626.0,S.A.R. Dinka,395,383.0,FO,243.0,T1,0,0,0,0,-2.51%,2.51%,0,0,0,1,1,1,NYY,TOR,FO,FO,FO,1
Future Trunks,189,920.0,S.A.R. Dinka,395,278.0,PO,358.0,T1,1,0,0,0,-2.18%,2.18%,0,0,0,1,1,1,NYY,TOR,PO,PO,K,1
Nori Aru,131,69.0,S.A.R. Dinka,395,511.0,RGO,442.0,T1,2,0,0,0,-1.76%,1.76%,0,0,0,1,1,1,NYY,TOR,RGO,LGO,RGO,1
Jack Meoff,1829,896.0,Don Chalupa,481,76.0,FO,180.0,B1,0,0,0,0,-2.48%,2.48%,0,0,0,2,1,1,TOR,NYY,FO,FO,FO,1
Jay Peg,724,143.0,Don Chalupa,481,600.0,LGO,457.0,B1,1,0,0,0,-2.17%,2.17%,0,0,0,2,1,1,TOR,NYY,LGO,LGO,LGO,1
Scherbie Fully-Loaded,679,222.0,Don Chalupa,481,791.0,RGO,431.0,B1,2,0,0,0,-1.79%,1.79%,0,0,0,2,1,1,TOR,NYY,RGO,RGO,RGO,1
Layzer Gunn,259,385.0,S.A.R. Dinka,395,612.0,K,227.0,T2,0,0,0,0,-2.72%,2.72%,0,0,0,3,1,1,NYY,TOR,K,K,FO,1
Trevor Mouseman,559,333.0,S.A.R. Dinka,395,463.0,BB,130.0,T2,1,0,0,0,2.57%,-2.57%,0,0,0,3,1,1,NYY,TOR,BB,BB,1B,1
Skye McDowell,264,777.0,S.A.R. Dinka,395,33.0,PO,256.0,T2,1,1,0,0,-2.82%,2.82%,0,0,0,3,1,1,NYY,TOR,PO,K,FO,1
Ray Dingerz,510,737.0,S.A.R. Dinka,395,832.0,1B,95.0,T2,2,1,0,0,3.19%,-3.19%,0,0,0,3,1,1,NYY,TOR,1B,1B,1B,1
Pete Wheeler,783,420.0,S.A.R. Dinka,395,791.0,PO,371.0,T2,2,5,0,0,-7.33%,7.33%,0,0,0,3,1,1,NYY,TOR,PO,PO,K,1
Doc Crudelly,1811,509.0,Don Chalupa,481,781.0,K,272.0,B2,0,0,0,0,-2.72%,2.72%,0,0,0,4,1,1,TOR,NYY,K,FO,FO,1
Mylo Grams,396,432.0,Don Chalupa,481,781.0,K,349.0,B2,1,0,0,0,-2.38%,2.38%,0,0,0,4,1,1,TOR,NYY,K,K,K,1
Graham Grams,400,443.0,Don Chalupa,481,781.0,K,338.0,B2,2,0,0,0,-2.03%,2.03%,0,0,0,4,1,1,TOR,NYY,K,K,K,1
Turnip Stonk,1951,781.0,S.A.R. Dinka,395,306.0,LGO,475.0,T3,0,0,0,0,-3.03%,3.03%,0,0,0,5,1,1,NYY,TOR,LGO,LGO,LGO,1
Zum Saparilla,160,621.0,S.A.R. Dinka,395,632.0,HR,11.0,T3,1,0,0,0,15.56%,-15.56%,1,1,1,5,1,1,NYY,TOR,HR,HR,HR,1
Future Trunks,189,325.0,S.A.R. Dinka,395,496.0,FO,171.0,T3,1,0,0,1,-2.03%,2.03%,0,0,0,5,1,1,NYY,TOR,FO,FO,BB,1
Nori Aru,131,269.0,S.A.R. Dinka,395,51.0,FO,218.0,T3,2,0,0,1,-1.82%,1.82%,0,0,0,5,1,1,NYY,TOR,FO,FO,FO,1
Herderber Derperger III,1779,623.0,Don Chalupa,481,138.0,LGO,485.0,B3,0,0,0,1,-3.58%,3.58%,0,0,0,6,1,1,TOR,NYY,LGO,LGO,LGO,1
Almondo Albuterol,1790,711.0,Don Chalupa,481,298.0,PO,413.0,B3,1,0,0,1,-3.10%,3.10%,0,0,0,6,1,1,TOR,NYY,PO,PO,RGO,1
Jimmy Johns,303,682.0,Don Chalupa,481,500.0,BB,182.0,B3,2,0,0,1,2.66%,-2.66%,0,0,0,6,1,1,TOR,NYY,BB,BB,FO,1
Jack Meoff,1829,653.0,Don Chalupa,481,864.0,FO,211.0,B3,2,1,0,1,-5.25%,5.25%,0,0,0,6,1,1,TOR,NYY,FO,FO,FO,1
