Player ID,Name,Batting Type,Pitching Type,Pitching Bonus,Handedness,Primary Position
1,Thomas Nova,BP,EG,H,Left,P
2,Vinny Vedecci,BP,,,Left,1B
3,Syd Kidd,BN,EG,B,Left,P
4,Chip Otle,MH,BS,H,Left,P
5,Y.E. Wally,TT,WC,H,Right,P
6,Xavier Quinn Jr.,BP,,,Right,C
10,Holden Summers,1B,BS,H,Left,P
13,Reimer Gonzalez,WC,,,Right,SS
14,Baba Ganoosh,TT,,,Right,LF
16,Thomas Chiggins,BP,,,Right,CF
17,Haywood Jablome,BP,,,Right,RF
18,Jordan Peppers,1B,,,Right,RF
20,Q Kimbrel,TT,,,Left,CF
21,Silver Edgeworth,BP,BF,B,Right,P
22,Snoop E. Dogg,XB,,,Right,2B
24,Nate Lewis,BC,,,Right,C
28,Barney Turbo,BC,,,Right,SS
29,Eric Leeder,SF,,,Right,SS
32,Larry Longshot,TT,FP,H,Right,PH
33,Brian Zucchini,BC,,,Left,CF
34,Dixon Uraz,S,,,Left,RF
35,Jeffrey Nolan,BP,,,Right,RF
36,Jose Canyousico,WC,,,Right,2B
37,Artanis Jones,SM,BS,H,Left,P
39,Whitt Bass,1B,NT,S,Right,P
41,Thaddeus Gomorrah,BC,,,Right,C
42,Viking Fishbird,1B,NH,S,Right,P
45,LaPrince Frye,BC,,,Right,3B
46,Jackson Sanchez,SF,NT,H,Right,P
48,Willow Briansdottir,WC,,,Right,2B
49,Austin Schwartz,1B,,,Left,LF
50,Blandon Brade,BP,,,Right,LF
54,Katia Wölfe,EN,,,Left,RF
55,Rick McLightning,BN,,,Right,RF
56,Ziggy Cedar,S,,,Left,RF
58,Atlas Quin,MH,TT,H,Left,P
59,Velvet Scarlatina,1B,NT,H,Right,P
63,Michael Ikenberry,SM,BB,B,Left,PH
65,Dakota Carolina Montana,S,,,Left,1B
66,Daniel Dove,SF,,,Right,2B
67,Leonard Boyfriend,1B,,,Left,2B
68,Erin Pickles,WC,,,Right,2B
70,Ducci Verducci,MH,EG,S,Left,P
71,Miroslav,BC,,,Right,CF
72,Bubba McCali,XB,,,Left,RF
73,Jack Alpha,BN,,,Right,PH
74,Einhorn,SF,TT,H,Right,P
75,Garrett Evans,BC,BS,B,Right,P
76,Hank Murphy,1B,BS,S,Right,P
78,Crimson Chin,BP,FP,S,Left,P
79,Jumbo Dick,BP,,,Left,1B
80,Steel Pipe Simpson,BP,,,Left,1B
81,Dick McScrotington,BC,,,Left,2B
82,Juan Diego De Las Rosas,1B,,,Right,2B
