G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,RE24,WPA,WAR,GB_outs,FB_outs,nPA,nAB,nH,nTB,nBB,nSF,nSH,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,OPS+,Avg Diff,nOBP,nSLG,Season,Team
1,23.0,23.0,6.0,4.0,3.0,2.0,1.0,0.0,10.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,6.0,6.0,0.0,-0.5859872611464971,0.3312,0.057343896836169944,2.0,12.0,23.0,23.0,6.0,10.0,0.0,0.0,0.0,0.2608695652173913,0.2608695652173913,0.43478260869565216,0.6956521739130435,0.17391304347826086,0.3,0.0,0.0,0.13043478260869565,0.0,0.14285714285714285,0.8571428571428571,0.16666666666666666,91.0,242.375,0.2608695652173913,0.43478260869565216,S12,ANA
1,18.0,15.0,4.0,3.0,2.0,0.0,0.0,2.0,10.0,3.0,3.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,-0.05732484076433164,0.20499999999999993,0.08500522084159962,1.0,2.0,18.0,18.0,4.0,10.0,0.0,0.0,0.0,0.26666666666666666,0.3888888888888889,0.6666666666666666,1.0555555555555556,0.39999999999999997,0.4,1.0,0.1111111111111111,0.4444444444444444,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.5,99.0,200.57894736842104,0.2222222222222222,0.5555555555555556,S12,ARI
1,27.0,25.0,13.0,8.0,4.0,4.0,1.0,4.0,31.0,8.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,2.0,3.0,4.0,0.0,3.4140127388535033,0.39640000000000003,0.4775078312623996,8.0,7.0,27.0,27.0,13.0,30.0,0.0,0.0,0.0,0.52,0.5555555555555556,1.24,1.7955555555555556,0.72,0.42857142857142855,0.0,0.14814814814814814,0.0,0.07407407407407407,0.5333333333333333,0.4666666666666667,1.1428571428571428,313.0,192.71428571428572,0.48148148148148145,1.1111111111111112,S12,ATL
1,19.0,16.0,2.0,3.0,0.0,0.0,0.0,2.0,8.0,3.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,0.0,-0.8216560509554138,0.13230000000000003,0.013613083429048732,4.0,4.0,19.0,19.0,3.0,9.0,0.0,0.0,0.0,0.125,0.2631578947368421,0.5,0.763157894736842,0.375,0.0,0.0,0.10526315789473684,0.3684210526315789,0.15789473684210525,0.5,0.5,1.0,57.0,255.6315789473684,0.15789473684210525,0.47368421052631576,S12,BAL
1,12.0,12.0,3.0,1.0,2.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,0.0,-2.0573248407643314,-0.033499999999999995,-0.14524068079774463,5.0,3.0,12.0,12.0,3.0,6.0,0.0,0.0,0.0,0.25,0.25,0.5,0.75,0.25,0.2,0.0,0.08333333333333333,0.08333333333333333,0.0,0.625,0.375,1.6666666666666667,99.0,313.9166666666667,0.25,0.5,S12,BOS
1,29.0,28.0,10.0,8.0,1.0,3.0,2.0,4.0,29.0,8.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,10.0,0.0,3.4140127388535024,0.4009,0.48758979847551415,3.0,12.0,29.0,29.0,10.0,29.0,0.0,0.0,0.0,0.35714285714285715,0.3793103448275862,1.0357142857142858,1.4150246305418719,0.6785714285714286,0.2857142857142857,0.0,0.13793103448275862,0.10344827586206896,0.034482758620689655,0.2,0.8,0.25,235.0,228.68965517241378,0.3448275862068966,1.0,S12,CHC
1,21.0,19.0,2.0,1.0,0.0,2.0,0.0,0.0,4.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,9.0,1.0,0.0,-3.5859872611464976,-0.36769999999999997,-0.2527380703769448,5.0,10.0,21.0,21.0,2.0,4.0,0.0,0.0,0.0,0.10526315789473684,0.19047619047619047,0.21052631578947367,0.40100250626566414,0.10526315789473684,0.125,0.0,0.0,0.14285714285714285,0.09523809523809523,0.3333333333333333,0.6666666666666666,0.5,-24.0,250.71428571428572,0.09523809523809523,0.19047619047619047,S12,CIN
1,21.0,18.0,3.0,0.0,1.0,2.0,0.0,0.0,5.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,4.0,0.0,-2.661150659839308,-0.5139,-0.16025441024622594,6.0,6.0,21.0,21.0,3.0,5.0,0.0,0.0,0.0,0.16666666666666666,0.2857142857142857,0.2777777777777778,0.5634920634920635,0.11111111111111113,0.21428571428571427,0.0,0.0,0.19047619047619047,0.14285714285714285,0.5,0.5,1.0,5.0,298.95238095238096,0.14285714285714285,0.23809523809523808,S12,CLE
1,18.0,16.0,3.0,1.0,2.0,1.0,0.0,0.0,4.0,1.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,5.0,0.0,0.0,-2.821656050955414,-0.1252,-0.19142790017750866,5.0,5.0,18.0,18.0,3.0,4.0,0.0,0.0,0.0,0.1875,0.2777777777777778,0.25,0.5277777777777778,0.0625,0.2727272727272727,0.0,0.0,0.2777777777777778,0.1111111111111111,0.5,0.5,1.0,11.0,240.0,0.16666666666666666,0.2222222222222222,S12,COL
1,18.0,18.0,4.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,1.0,3.0,0.0,-3.8216560509554145,-0.1714,-0.29142790017750864,9.0,4.0,18.0,18.0,4.0,6.0,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.5555555555555556,0.1111111111111111,0.23529411764705882,0.0,0.0,0.05555555555555555,0.0,0.6923076923076923,0.3076923076923077,2.25,56.0,312.22222222222223,0.2222222222222222,0.3333333333333333,S12,CWS
